accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,tilt_x_deg,tilt_y_deg,vibration_rms_g,displacement_mm,crack_width_mm,label,risk_score,risk_status
-0.0606,0.1637,0.9461,0.077,-1.605,7.292,7.936,0.0,0.00998,8.53,0.733,1,77.4,HIGH
0.1306,-0.1103,0.9058,-0.937,-1.921,-6.934,2.012,2.876,0.04025,5.66,1.126,1,78.3,HIGH
-0.0586,-0.0389,0.9702,5.821,10.92,2.172,1.882,1.118,0.01595,2.92,0.936,1,52.1,MEDIUM
0.0226,0.0146,0.9871,-0.032,0.973,-0.051,0.722,0.772,0.00488,0.0,0.0,0,11.5,LOW
-0.0161,-0.0009,0.9888,0.172,1.085,0.795,0.351,0.685,0.0077,0.0,0.0,0,10.7,LOW
0.0037,-0.0101,1.0029,0.448,0.648,-0.868,0.632,0.525,0.00718,0.0,0.052,0,9.4,LOW
-0.0112,-0.0116,1.0044,-0.077,-1.472,-0.461,1.091,0.737,0.00564,0.0,0.0,0,12.2,LOW
-0.0273,0.0313,0.9846,-0.411,-1.297,-0.52,0.652,0.411,0.00441,0.0,0.0,0,10.8,LOW
0.0728,-0.0596,0.9264,-3.616,6.004,-2.257,5.984,3.709,0.02981,6.5,1.805,1,95.5,CRITICAL
-0.1042,0.0559,0.8933,-2.86,-6.687,12.689,1.377,5.529,0.02417,7.4,1.279,1,99.3,CRITICAL
-0.0081,-0.0138,1.0015,-0.701,-1.385,0.133,0.607,0.211,0.00103,0.07,0.0,0,6.4,LOW
-0.0314,-0.0667,0.9524,9.089,4.741,4.774,2.549,6.33,0.003,0.0,0.95,1,67.6,HIGH
-0.0204,-0.0117,0.9996,-1.093,0.34,1.338,0.436,0.298,0.00294,0.0,0.0,0,6.5,LOW
-0.0149,-0.0112,1.0132,0.047,0.174,-0.636,1.405,0.248,0.0028,0.14,0.0,0,11.4,LOW
0.0082,0.028,1.0078,0.414,0.899,-1.543,1.076,0.739,0.00241,0.07,0.016,0,12.5,LOW
-0.0083,0.0356,0.9966,-1.423,1.078,1.066,0.473,0.476,0.00622,0.0,0.0,0,9.5,LOW
0.0161,-0.0811,0.8697,1.196,0.546,-3.21,9.123,5.359,0.02055,3.51,1.037,1,100.0,CRITICAL
-0.0056,0.0048,0.9814,1.526,0.403,0.125,0.445,0.903,0.00497,0.0,0.0,0,13.0,LOW
0.0036,0.0402,1.0013,-0.124,0.438,-0.94,0.256,0.872,0.00453,0.09,0.0,0,7.9,LOW
0.0298,-0.0248,1.0027,-0.189,2.206,-0.071,0.0,0.354,0.00443,0.09,0.0,0,6.8,LOW
-0.0586,0.0122,1.0052,-1.39,1.728,1.505,0.135,0.476,0.00693,0.0,0.098,0,10.1,LOW
0.0294,-0.0495,1.0139,1.679,-0.396,1.928,0.39,0.328,0.00224,0.0,0.0,0,10.2,LOW
0.0348,-0.0262,1.0229,-1.359,-0.399,0.098,0.165,0.463,0.00588,0.0,0.0,0,11.0,LOW
-0.0053,-0.0316,1.0157,-0.405,-1.002,-0.754,0.736,0.344,0.00722,0.15,0.048,0,12.1,LOW
-0.0661,-0.0096,0.999,1.132,-1.285,1.518,0.262,0.05,0.00579,0.13,0.001,0,6.9,LOW
-0.0006,-0.0036,0.9949,-0.814,1.97,0.394,0.0,0.717,0.00725,0.21,0.001,0,9.7,LOW
-0.0105,-0.0534,0.9984,-1.298,0.288,0.332,0.27,0.978,0.00382,0.0,0.047,0,8.7,LOW
0.0326,-0.0246,0.998,0.305,-1.814,1.962,0.282,0.417,0.00322,0.0,0.0,0,8.2,LOW
-0.0602,0.03,0.8903,-7.234,2.248,-0.187,3.703,5.976,0.01192,2.88,0.888,1,85.8,CRITICAL
-0.1305,-0.0657,0.8916,-4.812,-1.882,-2.841,6.61,2.347,0.00868,5.35,0.467,1,82.0,CRITICAL
-0.0255,-0.0302,1.0145,-0.468,0.87,-0.048,0.596,0.405,0.00589,0.03,0.0,0,10.2,LOW
-0.0058,0.0405,0.9979,-0.561,1.16,-0.636,0.663,0.331,0.00624,0.0,0.0,0,8.4,LOW
0.0459,-0.0408,1.0087,-0.399,2.611,-0.936,0.433,0.698,0.00677,0.09,0.0,0,12.7,LOW
0.0018,-0.0109,0.9964,0.744,0.09,-0.266,0.55,0.68,0.00406,0.0,0.0,0,8.1,LOW
0.0533,-0.054,0.9787,-0.276,1.455,0.188,0.703,0.454,0.0044,0.08,0.0,0,12.6,LOW
-0.0255,-0.0135,0.9892,1.296,0.214,0.156,0.089,0.425,0.00271,0.02,0.013,0,7.1,LOW
-0.0123,-0.0456,0.9892,-0.285,-0.811,-1.349,0.597,0.671,0.0046,0.0,0.087,0,11.4,LOW
-0.0206,0.0108,0.9895,2.445,0.114,1.171,0.563,0.54,0.00281,0.16,0.009,0,11.8,LOW
-0.0258,-0.0498,1.0113,-0.259,0.954,-0.627,0.595,0.176,0.00638,0.0,0.009,0,9.1,LOW
0.02,-0.0142,0.9929,-0.44,0.388,-0.105,0.433,0.0,0.00471,0.1,0.0,0,5.7,LOW
0.0614,0.2325,0.9003,0.157,-3.716,1.262,2.451,3.968,0.0277,1.08,0.242,1,63.2,HIGH
-0.0921,-0.0735,1.0094,0.79,0.237,1.629,2.859,4.963,0.01457,10.45,0.355,1,63.0,HIGH
-0.0276,-0.0027,1.0095,-0.587,-0.903,0.228,0.077,0.42,0.00284,0.0,0.0,0,6.4,LOW
-0.0374,0.0183,1.0112,0.598,0.164,2.58,0.001,0.704,0.00282,0.0,0.0,0,9.9,LOW
-0.1116,-0.151,1.0262,-5.949,1.053,6.784,1.516,2.003,0.01703,3.27,1.457,1,51.9,MEDIUM
-0.031,0.0378,1.0032,-0.888,0.305,1.789,0.662,0.833,0.00707,0.0,0.0,0,11.8,LOW
-0.0578,0.0519,0.9011,-8.86,5.42,-1.23,4.969,3.843,0.03522,5.21,0.915,1,96.3,CRITICAL
0.0429,0.0154,1.0201,-0.451,-1.684,-3.168,0.725,0.377,0.00547,0.0,0.0,0,15.5,LOW
-0.0286,-0.0443,0.9978,-0.294,0.02,0.259,0.165,0.03,0.00279,0.0,0.085,0,3.1,LOW
-0.0031,-0.0162,1.0159,2.135,-0.42,-0.122,0.0,0.448,0.00418,0.0,0.0,0,9.5,LOW
0.0042,0.007,1.003,0.147,0.826,1.4,0.072,0.865,0.00615,0.11,0.0,0,8.9,LOW
-0.1113,-0.0114,0.9669,-1.114,13.737,1.612,3.89,3.894,0.02406,0.39,1.719,1,75.2,HIGH
0.0298,-0.013,0.9983,-0.789,0.035,0.184,0.381,0.43,0.00381,0.17,0.0,0,6.3,LOW
-0.0261,-0.0082,1.0028,0.537,-0.527,-0.243,0.839,0.092,0.00265,0.0,0.009,0,6.3,LOW
-0.0096,0.0214,1.0019,0.257,0.743,0.819,0.537,0.194,0.00275,0.0,0.0,0,5.8,LOW
-0.0008,0.03,1.0114,0.097,-0.258,-1.348,0.748,0.892,0.00444,0.0,0.034,0,12.4,LOW
-0.0164,0.0387,0.9865,-0.527,-0.271,0.471,0.78,0.533,0.00627,0.0,0.0,0,11.0,LOW
-0.0121,0.0394,0.8038,3.299,-4.728,-2.546,6.398,4.768,0.00932,11.42,0.922,1,100.0,CRITICAL
0.0065,0.0338,1.0014,0.61,-0.592,0.213,0.131,1.051,0.00221,0.0,0.0,0,7.0,LOW
-0.0487,0.0558,1.0151,0.26,-2.788,-1.356,0.357,0.361,0.00248,0.02,0.0,0,11.3,LOW
0.0092,-0.0355,0.9916,-1.611,0.217,1.43,0.72,0.391,0.00165,0.0,0.0,0,9.9,LOW
-0.0154,0.0543,0.9854,-1.523,-1.62,-0.196,0.873,0.599,0.00426,0.2,0.0,0,13.8,LOW
-0.0294,0.035,1.0001,-0.484,-0.7,-1.229,0.509,0.409,0.00345,0.0,0.013,0,7.0,LOW
-0.0283,-0.0255,1.0128,0.873,-1.857,1.777,0.352,0.687,0.00126,0.05,0.0,0,11.3,LOW
0.0237,-0.043,1.0015,0.178,-0.248,-0.558,0.329,0.479,0.00764,0.0,0.001,0,6.8,LOW
-0.0017,0.0139,1.0074,-0.793,-0.102,0.31,0.373,0.378,0.0033,0.0,0.0,0,6.8,LOW
-0.0138,0.0214,1.0043,0.236,-1.156,-1.117,0.36,0.61,0.00609,0.0,0.052,0,9.3,LOW
-0.0224,0.0153,0.9949,-1.164,0.314,-0.803,0.653,0.76,0.00642,0.0,0.0,0,10.8,LOW
-0.0226,-0.0111,0.9928,2.102,-0.222,1.416,0.517,0.855,0.00523,0.04,0.0,0,12.4,LOW
0.0044,-0.0532,0.9802,1.87,-0.417,1.713,0.329,0.397,0.00421,0.0,0.0,0,12.0,LOW
0.0069,-0.0091,0.9846,0.98,-2.05,-0.882,4.007,0.573,0.01446,6.39,0.0,1,42.2,MEDIUM
-0.0279,0.0103,1.0035,1.075,-1.538,0.223,0.884,0.879,0.00326,0.08,0.0,0,11.7,LOW
-0.159,-0.0983,0.9492,-10.894,-4.715,-0.161,2.466,4.754,0.0,3.89,0.953,1,69.4,HIGH
0.0307,0.0039,0.9956,0.127,-0.648,-0.943,0.22,0.298,0.00609,0.0,0.0,0,6.5,LOW
-0.0267,-0.0595,1.0135,0.66,-1.181,0.619,0.363,0.899,0.00646,0.0,0.066,0,12.2,LOW
-0.044,0.0014,1.0258,4.696,-1.065,6.405,4.395,7.29,0.03117,6.53,1.834,1,95.5,CRITICAL
-0.0648,0.072,1.0093,-0.487,-0.773,0.565,0.488,0.722,0.00344,0.03,0.05,0,9.7,LOW
0.0065,-0.0076,1.0102,-0.456,0.609,0.903,0.258,0.4,0.00669,0.0,0.03,0,8.6,LOW
0.2,0.014,0.933,2.067,-2.778,5.075,7.578,1.121,0.02341,7.11,0.315,1,80.2,CRITICAL
0.0065,-0.0156,0.982,-0.88,-0.046,-0.236,0.182,0.387,0.00394,0.0,0.0,0,8.4,LOW
-0.0828,-0.0421,1.0185,-1.309,-0.008,1.977,0.0,0.462,0.00532,0.13,0.0,0,11.0,LOW
0.0416,-0.0269,1.0185,1.403,-0.504,-0.284,0.112,0.302,0.00269,0.01,0.046,0,8.7,LOW
0.02,0.0561,0.9647,-0.031,-0.105,1.006,0.317,0.496,0.00395,0.1,0.0,0,13.2,LOW
0.0349,-0.134,0.9788,-1.894,-1.259,-6.156,7.325,1.871,0.0,4.6,0.0,1,60.1,HIGH
0.0417,-0.0147,0.9912,-0.773,-0.489,-2.37,0.764,0.031,0.00106,0.0,0.0,0,9.1,LOW
0.0212,-0.0537,0.9909,10.455,6.73,-8.664,5.857,5.372,0.03301,2.81,1.49,1,92.4,CRITICAL
-0.0339,0.1429,1.0833,-3.638,-1.09,-0.29,1.599,4.825,0.02834,5.62,1.512,1,75.4,HIGH
0.0107,0.0636,1.0085,-1.269,-2.393,1.248,0.661,0.0,0.00809,0.05,0.0,0,11.3,LOW
0.2095,0.0816,0.9859,-3.009,-8.631,5.678,3.174,2.243,0.02199,2.83,1.08,1,58.3,MEDIUM
-0.0317,0.0409,1.0131,0.686,-0.415,1.682,0.126,0.645,0.00755,0.0,0.05,0,11.0,LOW
-0.0095,0.0008,1.0092,0.846,-0.904,0.976,0.43,0.258,0.0088,0.0,0.079,0,10.0,LOW
-0.0603,0.0211,1.0023,-0.233,0.549,-0.717,0.133,0.591,0.00772,0.07,0.0,0,7.2,LOW
0.0246,-0.0257,1.0057,2.261,-0.067,0.036,0.289,0.694,0.00405,0.05,0.088,0,10.2,LOW
0.0037,0.0045,1.0016,-0.313,0.376,0.441,0.702,0.712,0.00578,0.03,0.0,0,8.8,LOW
-0.0925,0.0707,0.9926,5.194,-4.19,3.363,1.388,0.0,0.00788,1.64,1.103,1,29.4,LOW
0.0997,0.1413,0.9343,-1.803,-8.938,9.927,4.997,6.906,0.02339,7.43,0.194,1,100.0,CRITICAL
-0.0043,-0.0359,0.9925,0.051,1.317,-0.815,0.525,0.357,0.00534,0.0,0.0,0,9.0,LOW
-0.0163,-0.0325,0.9985,-1.181,0.884,2.597,0.966,0.697,0.00509,0.0,0.0,0,13.0,LOW
0.0564,0.0042,0.995,-0.3,0.879,-0.199,0.271,0.589,0.00521,0.01,0.006,0,7.5,LOW
0.0075,-0.0045,1.0004,-0.276,0.134,0.018,1.083,0.242,0.00712,0.0,0.0,0,8.0,LOW
0.0409,0.0232,0.998,0.659,1.209,1.153,0.694,0.622,0.00757,0.12,0.06,0,11.2,LOW
0.0287,0.0241,0.9973,-0.24,-0.756,0.43,0.0,0.17,0.00163,0.0,0.012,0,3.1,LOW
0.0309,-0.0435,1.0135,1.435,-1.54,-1.064,0.866,0.0,0.00406,0.09,0.031,0,11.3,LOW
0.0253,-0.0043,1.0074,-0.517,-0.663,-0.547,0.272,0.261,0.00356,0.02,0.0,0,6.2,LOW
-0.0158,-0.006,0.9862,-0.159,-0.405,1.723,0.553,0.544,0.00593,0.1,0.028,0,11.9,LOW
-0.01,0.0127,1.0093,-0.677,-0.669,1.157,0.279,0.548,0.0042,0.0,0.0,0,8.7,LOW
-0.0144,-0.0135,1.0064,-0.268,0.992,-0.677,0.485,0.664,0.00334,0.0,0.0,0,8.7,LOW
-0.0115,0.0165,1.0156,1.55,0.286,0.29,0.19,0.585,0.00593,0.06,0.0,0,10.5,LOW
-0.0121,0.0013,0.9933,1.096,-0.342,-2.169,1.149,0.468,0.00762,0.0,0.011,0,13.8,LOW
-0.0195,0.0213,0.9772,0.362,-1.016,-0.518,0.505,0.326,0.00718,0.0,0.028,0,12.0,LOW
0.0771,0.0051,0.9844,0.854,1.196,-1.287,0.585,0.655,0.0,0.23,0.116,0,12.1,LOW
0.0561,-0.0474,1.0028,-0.762,-0.958,0.594,0.28,0.609,0.00715,0.09,0.0,0,8.5,LOW
0.0111,0.0063,1.0004,-1.728,1.861,-0.103,0.233,0.904,0.00442,0.34,0.0,0,10.4,LOW
0.0374,-0.0297,0.8974,7.082,-7.231,-0.152,4.481,3.623,0.03453,3.46,1.441,1,92.6,CRITICAL
0.0273,0.0518,0.9894,1.889,-0.856,0.086,0.436,0.8,0.00446,0.0,0.0,0,11.5,LOW
0.0287,-0.0134,0.9867,2.102,1.335,1.769,0.355,0.465,0.00268,0.0,0.0,0,11.3,LOW
0.0321,-0.1956,0.8939,3.264,-6.326,-10.414,2.946,3.103,0.01273,3.86,0.559,1,78.7,HIGH
-0.0001,-0.0065,1.0022,-0.845,-1.96,0.461,0.029,0.855,0.00604,0.0,0.0,0,9.1,LOW
0.0293,-0.0272,0.9947,0.806,0.597,0.798,0.552,1.096,0.0,0.03,0.0,0,9.6,LOW
0.0225,0.0524,1.0139,-0.706,1.198,0.561,0.582,0.038,0.00457,0.09,0.011,0,9.1,LOW
-0.039,0.0071,1.0033,0.207,1.624,1.307,1.112,0.851,0.00794,0.07,0.0,0,14.2,LOW
-0.0028,-0.0403,1.0105,-1.016,1.353,-0.213,0.46,0.485,0.00676,0.02,0.087,0,10.9,LOW
0.0128,0.0295,0.9911,0.737,-0.685,0.973,0.479,0.139,0.00558,0.0,0.0,0,8.0,LOW
0.0116,0.0702,1.0102,-1.463,-1.445,-2.506,0.317,0.415,0.00173,0.0,0.062,0,10.7,LOW
-0.0091,-0.0059,1.0018,0.014,-0.379,0.117,0.78,0.733,0.00449,0.0,0.056,0,8.6,LOW
0.0032,0.005,1.0025,-1.025,-1.442,-0.762,0.57,0.035,0.00715,0.0,0.021,0,8.1,LOW
0.0312,0.0471,0.9962,-1.242,-1.049,0.027,1.158,0.459,0.00443,0.0,0.0,0,11.0,LOW
-0.0386,0.0111,0.9965,-0.673,-0.267,1.146,0.579,0.717,0.00785,0.0,0.061,0,10.6,LOW
0.0419,0.0161,0.9955,0.543,-0.291,-0.394,0.29,0.475,0.0055,0.05,0.03,0,7.0,LOW
-0.0215,-0.0207,0.9883,-0.577,1.282,0.408,0.261,1.004,0.00163,0.0,0.0,0,10.1,LOW
0.0231,-0.0114,1.0032,-0.372,0.401,-0.326,0.444,0.125,0.004,0.0,0.0,0,5.1,LOW
-0.0207,-0.0244,0.9819,1.135,-0.137,-0.087,0.096,0.617,0.00306,0.01,0.008,0,9.2,LOW
-0.061,-0.0085,1.0004,-0.395,-0.264,0.168,0.376,0.447,0.00537,0.0,0.0,0,5.7,LOW
0.0466,-0.0387,1.008,-1.303,0.518,-0.674,0.054,0.362,0.00764,0.0,0.062,0,8.2,LOW
0.0122,0.0342,0.9893,0.426,-0.188,0.985,1.457,0.452,0.00243,0.0,0.0,0,12.1,LOW
-0.0032,0.0114,1.0029,2.611,-13.266,8.85,1.972,1.658,0.013,11.47,0.546,1,68.9,HIGH
0.0435,-0.0097,0.9793,1.568,-1.899,0.781,0.974,0.669,0.00616,0.0,0.0,0,16.4,LOW
-0.0553,0.0113,0.9877,-0.941,-0.461,-2.314,0.497,0.353,0.0009,0.03,0.018,0,10.1,LOW
0.0433,0.0276,0.999,0.892,1.29,0.638,0.0,0.516,0.00626,0.0,0.0,0,6.7,LOW
-0.0272,-0.0303,1.0052,0.635,-0.268,-0.455,0.0,0.538,0.00686,0.1,0.0,0,6.7,LOW
-0.0257,0.0351,1.0089,0.999,-0.762,-0.753,0.726,0.381,0.0,0.22,0.015,0,8.9,LOW
-0.0143,0.0555,1.0008,1.744,-1.286,-1.032,0.646,0.585,0.0056,0.03,0.0,0,10.4,LOW
0.0466,-0.0335,1.0043,1.069,0.229,-0.296,0.859,0.773,0.00831,0.11,0.0,0,11.8,LOW
0.0129,0.0179,1.0083,-0.826,0.477,-0.055,0.301,0.474,0.00587,0.13,0.059,0,8.5,LOW
-0.0123,-0.0066,1.0065,1.405,0.441,0.079,0.538,0.774,0.00516,0.0,0.0,0,10.3,LOW
-0.0147,0.0102,1.013,0.148,-1.515,0.643,0.525,0.317,0.0049,0.0,0.0,0,9.9,LOW
0.0246,-0.0185,1.002,1.279,-1.201,1.324,0.915,0.262,0.00441,0.0,0.0,0,9.7,LOW
0.0258,-0.0235,1.0179,0.224,-0.248,-0.535,0.468,0.413,0.00311,0.0,0.014,0,9.1,LOW
-0.0417,-0.0812,0.996,0.478,0.876,1.45,0.284,0.673,0.00187,0.12,0.076,0,8.4,LOW
0.0653,0.0125,0.9895,-1.255,1.16,-0.047,0.207,0.452,0.00645,0.14,0.018,0,9.6,LOW
-0.009,0.043,0.9937,0.314,0.332,1.596,0.028,0.739,0.00765,0.0,0.002,0,9.1,LOW
-0.0202,-0.0064,0.9984,1.314,-1.405,1.364,0.464,0.65,0.00645,0.0,0.0,0,10.2,LOW
0.002,0.0254,1.0035,-1.025,-1.371,-2.113,0.622,0.921,0.00419,0.1,0.006,0,12.4,LOW
-0.0268,-0.0101,0.9918,0.114,-0.046,-0.306,0.544,0.139,0.00603,0.11,0.0,0,6.9,LOW
0.0466,-0.0144,1.0031,0.152,-1.647,0.446,0.801,0.633,0.00608,0.0,0.065,0,11.1,LOW
-0.0963,-0.1513,0.8939,4.306,-3.322,3.421,3.049,3.891,0.00655,4.16,0.736,1,72.6,HIGH
0.0115,0.0826,0.8881,3.673,-1.82,-4.466,5.749,3.065,0.01566,8.32,1.481,1,95.5,CRITICAL
0.0319,-0.0363,0.99,-1.69,0.105,0.002,0.864,0.037,0.00829,0.07,0.043,0,11.0,LOW
0.0169,0.0044,1.0079,-0.011,0.045,-1.74,0.743,0.795,0.0035,0.0,0.044,0,11.6,LOW
-0.0095,0.0134,0.9949,-0.809,0.411,0.657,0.654,0.75,0.00593,0.0,0.035,0,10.3,LOW
0.0189,-0.0056,0.9917,0.09,-0.16,0.346,0.593,0.413,0.0035,0.0,0.0,0,7.3,LOW
-0.001,-0.0758,1.0127,0.249,-0.435,-0.221,0.889,0.604,0.00457,0.0,0.0,0,10.7,LOW
-0.0518,0.02,0.995,0.183,0.482,-0.4,0.929,0.343,0.00498,0.07,0.059,0,9.0,LOW
0.0062,0.0043,0.9928,0.84,-1.402,0.629,0.365,0.602,0.0052,0.0,0.025,0,9.6,LOW
-0.01,0.0214,0.9885,1.209,-0.072,1.744,0.34,0.753,0.00519,0.11,0.003,0,11.6,LOW
-0.0257,0.0554,1.0106,-4.456,-3.771,4.68,1.626,5.613,0.02381,5.52,0.516,1,63.1,HIGH
-0.01,-0.0153,1.0107,0.105,0.807,0.87,0.852,0.852,0.00463,0.0,0.023,0,12.2,LOW
0.0364,0.01,0.9852,1.76,-3.268,-0.417,0.53,0.806,0.00768,0.0,0.0,0,16.2,LOW
0.0475,-0.0343,1.0032,-0.255,-0.307,0.882,0.04,0.218,0.00502,0.06,0.0,0,4.8,LOW
-0.0389,0.0076,0.9966,-0.09,0.284,0.453,0.842,1.066,0.00697,0.1,0.0,0,11.4,LOW
0.0272,0.0689,1.013,-1.431,-1.302,-1.033,0.636,0.742,0.00206,0.02,0.0,0,12.1,LOW
-0.0148,-0.0098,0.9968,1.136,-1.239,-0.72,0.786,0.465,0.00318,0.02,0.0,0,9.4,LOW
-0.0172,-0.0821,0.9889,2.185,0.576,-0.491,0.28,0.156,0.00497,0.07,0.03,0,9.2,LOW
0.0006,0.032,0.9798,-0.379,0.443,1.898,0.452,0.868,0.00517,0.0,0.0,0,13.8,LOW
-0.0054,-0.0393,1.0114,0.68,-1.913,0.286,0.121,0.305,0.00489,0.03,0.027,0,8.7,LOW
0.0896,-0.0536,0.984,0.809,1.315,-1.809,0.751,0.315,0.00745,0.0,0.0,0,13.3,LOW
-0.0209,-0.0201,1.0003,2.196,0.027,0.368,0.696,0.632,0.01083,0.1,0.0,0,12.2,LOW
0.0355,0.0711,0.9357,-0.448,9.682,3.635,2.766,5.925,0.02201,6.27,1.566,1,90.1,CRITICAL
-0.0025,0.023,1.0049,0.832,2.282,-0.144,0.909,1.09,0.00678,0.0,0.009,0,14.7,LOW
0.024,0.1101,0.9463,-0.736,1.128,-1.082,0.043,4.073,0.01281,0.3,0.722,1,37.8,MEDIUM
-0.0516,-0.0397,0.9861,-0.322,0.177,-0.474,0.324,0.413,0.00658,0.0,0.018,0,8.7,LOW
0.0842,0.1605,0.9539,-0.188,1.317,0.028,6.025,9.673,0.03073,9.53,0.997,1,100.0,CRITICAL
-0.0453,-0.0201,0.9879,-0.655,0.563,-0.998,0.337,0.363,0.00235,0.14,0.053,0,8.4,LOW
0.006,0.0174,0.9859,-6.558,-3.35,-7.4,3.605,5.132,0.016,7.13,0.911,1,77.0,HIGH
0.0023,0.0054,1.0013,1.494,0.986,0.548,0.645,0.537,0.00152,0.09,0.034,0,8.6,LOW
0.0402,-0.0008,1.0011,1.02,-1.209,1.35,0.328,0.714,0.00727,0.01,0.004,0,9.7,LOW
-0.1004,-0.0334,1.0099,0.28,0.026,11.895,4.767,3.229,0.03555,9.63,0.988,1,86.7,CRITICAL
-0.0094,-0.0416,1.0033,1.291,1.023,-0.363,0.311,0.127,0.00481,0.0,0.049,0,6.6,LOW
-0.0294,-0.0068,0.9889,-1.163,-1.064,0.46,0.266,0.564,0.00301,0.05,0.02,0,9.1,LOW
-0.0242,-0.0249,1.0073,-0.201,0.855,0.665,0.594,0.515,0.0053,0.02,0.0,0,9.2,LOW
-0.0216,-0.0294,0.9905,-0.384,0.827,-1.345,0.44,0.425,0.00281,0.0,0.0,0,8.6,LOW
-0.0501,0.0804,0.9984,1.252,-0.8,-1.258,0.214,0.243,0.0004,0.0,0.033,0,5.4,LOW
-0.0198,0.016,0.9969,-0.301,2.112,-0.032,0.395,0.346,0.00412,0.04,0.01,0,8.2,LOW
-0.0048,-0.0124,0.9994,0.206,-2.408,-1.378,0.703,0.464,0.00802,0.0,0.0,0,11.4,LOW
0.0407,0.0284,1.0098,-5.766,0.006,2.036,7.285,2.881,0.01259,4.5,1.573,1,72.4,HIGH
-0.0313,-0.009,1.0118,0.56,0.579,0.369,0.202,0.285,0.00447,0.12,0.0,0,7.2,LOW
-0.0242,-0.0564,1.0101,1.429,0.828,-0.193,0.122,0.545,0.00473,0.01,0.054,0,8.9,LOW
0.0403,0.1938,0.9767,-4.261,4.386,-7.376,7.739,4.675,0.02673,9.72,1.158,1,100.0,CRITICAL
-0.1972,-0.115,0.9656,0.388,5.33,4.431,3.798,5.202,0.02352,4.28,0.174,1,69.8,HIGH
-0.006,0.0028,0.8878,9.178,8.168,-2.36,3.833,3.233,0.01441,4.94,2.323,1,95.3,CRITICAL
0.0432,0.0364,0.9922,0.002,-0.05,0.234,0.732,0.84,0.004,0.0,0.0,0,9.4,LOW
0.0848,0.0383,0.9126,0.748,0.254,14.581,6.442,1.404,0.0074,0.14,0.503,1,75.8,HIGH
0.0332,-0.0321,0.9966,0.56,0.936,-0.857,0.365,0.27,0.00637,0.07,0.0,0,7.4,LOW
0.0163,0.002,1.002,-0.992,1.218,-1.068,0.371,0.62,0.00317,0.0,0.11,0,8.7,LOW
0.0019,0.0261,1.0211,-1.94,0.369,10.66,3.563,4.799,0.02142,4.34,0.553,1,71.8,HIGH
0.0179,0.0182,1.0073,-0.542,-0.615,0.407,0.636,0.796,0.00569,0.0,0.006,0,10.3,LOW
0.0066,0.0191,0.9898,1.826,-1.02,-0.197,0.648,0.073,0.00571,0.0,0.0,0,9.8,LOW
-0.0186,0.0014,0.9964,-0.311,-1.75,0.383,0.968,0.858,0.00504,0.0,0.0,0,12.3,LOW
-0.0216,-0.0021,1.0002,-0.257,-0.307,-0.768,0.0,0.664,0.00609,0.0,0.0,0,5.8,LOW
0.0195,0.0116,0.9983,-0.225,1.002,2.189,0.135,0.551,0.00447,0.01,0.092,0,8.5,LOW
0.0201,0.0549,1.0032,-0.439,-0.411,-0.229,0.362,0.406,0.00533,0.0,0.016,0,6.4,LOW
-0.1634,0.04,0.9604,4.813,4.686,-1.198,4.304,5.197,0.01419,6.28,1.248,1,79.2,HIGH
0.0174,0.0228,0.9923,0.484,1.922,-0.198,0.36,0.7,0.00353,0.12,0.003,0,10.1,LOW
-0.0132,-0.0329,1.0216,0.137,-0.957,0.282,0.309,0.033,0.00403,0.2,0.021,0,8.9,LOW
-0.0197,0.034,0.9925,-0.474,-1.097,1.074,0.3,0.46,0.00493,0.0,0.029,0,8.6,LOW
-0.0435,0.0398,1.0044,1.073,1.711,0.669,0.824,0.026,0.0055,0.08,0.0,0,9.3,LOW
0.0177,0.0469,1.003,1.447,0.474,-0.271,0.287,0.009,0.00787,0.0,0.075,0,6.8,LOW
-0.0254,0.0285,0.9913,-0.013,-1.433,0.753,0.405,0.749,0.00484,0.01,0.0,0,10.3,LOW
-0.0269,-0.0237,1.0043,-1.228,-1.068,0.84,0.267,0.46,0.00535,0.0,0.0,0,8.1,LOW
0.003,0.0206,1.023,0.108,0.116,1.42,0.369,0.546,0.00497,0.1,0.031,0,12.2,LOW
-0.0178,0.0051,0.9152,-3.497,4.618,-2.705,2.911,1.695,0.00997,3.47,2.336,1,66.6,HIGH
-0.0496,-0.0149,0.8942,2.45,2.639,-1.612,5.008,6.273,0.02342,8.83,1.261,1,100.0,CRITICAL
-0.0268,-0.022,0.9953,0.379,0.537,-0.172,0.455,0.729,0.004,0.0,0.0,0,7.9,LOW
0.0064,0.0035,0.9884,-1.514,0.766,-0.241,0.639,0.429,0.00543,0.14,0.004,0,11.1,LOW
-0.0248,-0.0402,1.0057,-0.251,-1.259,1.168,1.214,1.047,0.00504,0.07,0.0,0,14.4,LOW
-0.0111,0.0221,1.0082,0.378,0.31,-0.111,0.363,0.885,0.00447,0.0,0.041,0,8.9,LOW
-0.0318,0.0215,0.9856,1.747,0.091,-0.534,0.484,0.168,0.00422,0.2,0.023,0,10.0,LOW
-0.0339,-0.0178,1.0003,-1.048,0.763,-1.666,0.492,0.172,0.00622,0.0,0.0,0,7.7,LOW
-0.0059,-0.0248,1.0142,-0.747,0.986,-0.005,0.046,0.993,0.0049,0.0,0.0,0,10.3,LOW
